	C_S27	C_S28	C_S31	C_S43	C_S48	E_S36	E_S41	E_S42	E_S49	E_S50	N_S29	N_S30	N_S37	N_S38	N_S46
ENSG00000282994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000168936	506	860	728	215	504	287	583	494	688	520	698	1053	373	286	413
ENSG00000249241	0	0	0	0	1	0	1	1	1	3	0	0	0	0	0
ENSG00000174343	1	0	0	0	2	0	0	0	1	1	0	2	0	0	0
ENSG00000239010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000163694	888	1435	1005	762	659	357	752	478	715	470	442	1441	652	854	610
ENSG00000250893	0	9	0	0	2	0	3	5	0	0	0	1	0	2	0
ENSG00000242197	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000263642	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000163697	326	430	300	228	158	198	306	222	276	306	173	471	151	155	133
ENSG00000109133	859	774	970	599	792	268	677	453	498	421	360	904	531	654	312
ENSG00000156140	5	4	4	6	24	5	17	20	12	28	7	10	2	5	1
ENSG00000250220	3	7	0	0	6	1	4	2	2	7	7	7	0	3	9
ENSG00000221639	0	1	0	0	4	2	0	0	11	4	0	0	3	0	0
ENSG00000249976	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ENSG00000081051	38	67	255	44	47	46	26	66	38	52	33	135	21	20	41
ENSG00000079557	7343	6775	19690	7596	7523	4969	2499	8440	6558	8302	8715	8508	2695	5501	3099
ENSG00000156194	1	1	0	1	2	1	4	11	3	0	1	0	2	1	2
ENSG00000145425	6562	5835	10147	3181	4883	2150	5622	7179	11020	7794	3881	4444	4215	4883	3395
ENSG00000201264	0	0	0	0	0	0	0	7	0	1	0	0	0	1	0
ENSG00000109686	860	862	804	730	509	552	1090	526	501	771	626	1904	326	926	523
ENSG00000208797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000270681	0	9	6	0	1	2	1	4	3	1	1	3	2	5	0
ENSG00000249012	0	2	0	0	0	0	4	0	0	0	0	0	0	13	1
ENSG00000189099	0	0	0	0	3	1	0	0	12	3	0	2	0	39	1
ENSG00000250350	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ENSG00000252544	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0
ENSG00000270265	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2
ENSG00000088926	2991	1216	2681	1783	1837	874	1010	1151	1634	1548	1242	3681	852	1564	1420
ENSG00000290441	5	0	2	3	0	0	3	5	5	3	2	1	0	1	0
ENSG00000163995	22	22	29	11	22	21	104	36	123	39	23	24	6	29	16
ENSG00000290015	2	2	0	0	2	2	2	0	5	5	8	4	5	6	0
ENSG00000249145	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0
ENSG00000251615	12	38	33	9	15	25	34	40	52	58	24	23	13	30	17
ENSG00000087008	416	454	418	206	178	154	358	234	427	256	313	356	216	179	195
ENSG00000202054	0	0	0	0	0	0	0	0	1	3	0	1	0	0	0
ENSG00000164074	223	260	235	121	196	88	164	149	143	113	107	295	137	334	111
ENSG00000145431	420	290	383	163	258	180	388	355	257	234	207	431	169	172	131
ENSG00000248629	1	0	0	0	0	3	0	8	10	3	0	0	0	3	3
ENSG00000280284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000278880	0	0	0	0	0	0	0	0	0	3	1	0	0	1	0
ENSG00000250622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000252350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000183439	2	11	4	3	10	0	7	8	14	7	7	5	1	3	0
ENSG00000109536	354	364	407	182	204	124	345	167	539	264	185	246	187	364	152
ENSG00000249462	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000271307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000251297	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0
ENSG00000199572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000201145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224807	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
ENSG00000205097	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2
ENSG00000250053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214273	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0
ENSG00000249003	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ENSG00000281591	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000277162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281720	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000281652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000280799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000258834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000280757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000280457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000064042	498	583	292	269	215	174	482	281	340	247	225	443	132	218	147
ENSG00000178222	0	9	0	0	4	2	7	14	24	5	8	14	2	6	2
ENSG00000290803	0	0	0	0	0	1	0	1	6	0	2	0	0	4	0
ENSG00000181215	4	0	0	0	0	4	5	1	2	1	1	1	2	4	0
ENSG00000251162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000223037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000248162	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ENSG00000248771	3	53	4	0	0	2	1	13	7	0	0	11	0	2	0
ENSG00000205940	0	4	0	2	0	0	0	0	0	0	1	0	0	0	0
ENSG00000292984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000248302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000292991	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ENSG00000213492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000293004	0	0	6	1	2	0	0	4	0	1	0	0	3	1	0
ENSG00000249259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000293005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000293008	0	0	0	0	1	0	0	4	1	1	1	3	0	0	0
ENSG00000251429	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
ENSG00000293013	0	3	0	3	0	1	2	7	1	0	1	0	8	0	0
ENSG00000249506	0	1	0	0	1	4	2	0	0	0	0	4	0	1	0
ENSG00000293014	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000293019	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0
ENSG00000250315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000293020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000181359	4	5	0	2	2	0	9	0	2	1	1	1	8	2	1
ENSG00000293021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000293043	4	2	2	3	1	1	9	11	14	0	2	9	0	14	2
ENSG00000205100	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
ENSG00000293097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000248863	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000293157	1	0	3	0	0	1	2	0	4	0	0	1	0	23	1
ENSG00000224097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000293167	2	2	0	0	2	0	0	1	3	4	2	3	0	1	2
ENSG00000249138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000293200	0	4	2	2	5	1	7	3	21	20	2	6	2	52	13
ENSG00000251441	0	0	1	0	2	0	1	0	0	0	0	1	0	0	1
ENSG00000293208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000248840	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0
ENSG00000293213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000196656	6	9	21	8	0	3	11	6	16	6	1	7	0	4	10
ENSG00000293227	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000178636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000293254	1	2	0	1	0	0	0	1	0	0	0	0	0	4	1
ENSG00000248924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000215127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000293344	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0
ENSG00000243175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000205794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000293349	0	2	0	0	0	1	12	10	0	1	0	0	0	0	0
ENSG00000251595	0	2	0	0	0	3	1	0	7	5	1	5	4	10	3
ENSG00000293360	7	3	6	0	1	4	8	4	8	2	0	1	0	10	5
ENSG00000249065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000293361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000293421	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0
ENSG00000224786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000293471	0	1	1	0	0	0	2	2	1	2	3	2	4	7	0
ENSG00000215367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000293496	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000293501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000293348	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000293301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000153147	526	774	650	385	569	339	1335	570	692	681	438	978	274	607	323
ENSG00000251600	5	8	17	2	2	1	32	43	10	8	4	13	1	12	3
ENSG00000163631	1325866	952711	2121050	610803	1919043	906776	391167	1863480	1088825	1926939	1748092	3154053	532901	1095743	1121894
ENSG00000184985	65	124	53	12	60	71	44	88	68	81	154	130	21	69	83
ENSG00000206113	3	11	2	2	0	0	3	0	0	6	1	3	5	1	1
ENSG00000284684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000109458	166	259	126	105	101	93	170	213	162	199	144	337	36	161	91
ENSG00000087266	667	854	477	317	579	335	374	264	532	345	358	1084	334	503	366
ENSG00000121210	404	372	287	246	246	184	268	240	335	323	301	547	108	325	274
ENSG00000287216	0	0	1	0	0	0	0	4	0	3	1	4	0	8	0
ENSG00000248208	0	2	0	0	2	2	9	1	4	1	1	2	0	0	3
ENSG00000250771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000137462	313	322	441	501	119	105	497	279	215	175	138	257	121	127	137
ENSG00000145428	5	17	36	13	6	2	15	14	20	12	4	5	0	17	11
ENSG00000249309	0	0	0	2	0	0	2	1	0	0	0	0	0	0	0
ENSG00000145423	0	2	3	0	3	0	7	9	1	46	1	0	0	0	0
ENSG00000248049	64	96	58	23	29	37	47	38	116	91	30	94	7	90	47
ENSG00000250656	1	0	0	0	0	3	2	0	1	1	1	3	0	0	0
ENSG00000270228	3	0	3	0	0	1	0	0	0	1	0	3	1	0	0
ENSG00000270292	0	0	0	0	0	0	2	2	0	0	0	0	2	0	1
ENSG00000109163	1	0	0	0	1	2	1	4	2	0	1	1	6	6	2
ENSG00000202374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232398	0	1	0	0	0	0	0	2	6	0	3	0	0	0	0
ENSG00000153802	0	1	0	0	2	1	1	0	0	2	1	1	0	0	0
ENSG00000187054	0	0	0	0	2	3	1	2	0	1	1	0	0	0	0
ENSG00000293343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000271977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000251271	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0
ENSG00000290374	22	24	19	7	3	6	8	1	12	19	3	10	7	9	9
ENSG00000251669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000288589	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000290888	0	0	4	0	0	0	4	10	0	2	0	0	0	0	0
ENSG00000250846	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000248479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250064	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ENSG00000286141	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ENSG00000273447	1	5	2	1	0	2	6	5	1	2	0	6	5	6	1
ENSG00000272795	0	1	0	0	0	0	0	4	0	3	0	0	0	0	0
ENSG00000185477	68	144	47	19	135	145	301	145	257	288	193	225	13	114	44
ENSG00000288951	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000251252	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
ENSG00000250634	10	2	4	3	6	5	10	33	4	4	1	4	0	2	4
ENSG00000250497	0	0	0	0	0	0	0	5	1	0	0	2	0	1	0
ENSG00000224569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000248698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287360	1	0	0	0	0	0	1	7	2	2	0	0	0	0	0
ENSG00000251412	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ENSG00000248425	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
ENSG00000248174	9	3	4	3	3	6	10	21	14	15	11	7	3	17	2
ENSG00000250957	1	0	0	0	0	0	0	0	4	2	0	1	1	1	0
ENSG00000251213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000289179	1	0	0	0	2	0	0	2	4	2	3	9	0	0	0
ENSG00000289210	6	11	14	9	8	7	2	7	3	7	0	15	0	8	1
ENSG00000164117	711	468	737	815	265	168	420	251	223	311	330	582	194	151	230
ENSG00000164118	54	166	105	59	113	88	140	124	91	89	64	187	76	52	51
ENSG00000249875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000249091	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0
ENSG00000248397	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ENSG00000251372	2	4	0	0	1	0	8	9	2	2	0	0	0	5	0
ENSG00000248305	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0
ENSG00000248795	12	3	11	1	4	4	15	9	11	3	6	5	6	2	2
ENSG00000250977	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000249262	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ENSG00000170502	806	568	838	543	340	229	798	366	587	593	421	467	631	320	305
ENSG00000272856	0	3	0	0	0	0	3	13	0	1	1	2	0	1	2
ENSG00000152583	686	1424	437	99	352	696	496	2142	909	1775	417	505	186	380	448
ENSG00000250921	0	0	0	0	0	0	3	4	2	0	1	0	0	0	1
ENSG00000279222	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000278913	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
ENSG00000164151	251	503	258	122	164	151	321	173	247	251	159	373	153	318	113
ENSG00000259603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000223597	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000287790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000248962	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0
ENSG00000249966	0	0	3	0	4	1	0	9	3	2	1	0	3	0	0
ENSG00000145536	0	0	0	0	1	3	7	29	14	14	21	7	0	0	6
ENSG00000248137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000285689	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0
ENSG00000280251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000279002	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ENSG00000171421	322	342	515	312	159	86	312	117	353	279	235	347	116	155	198
ENSG00000250490	0	6	2	0	2	0	3	6	3	6	0	5	0	9	0
ENSG00000250481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000124279	119	131	167	57	55	32	95	68	48	34	41	138	69	39	37
ENSG00000251476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000205976	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0
ENSG00000260763	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0
ENSG00000251506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272049	7	0	3	1	4	2	0	6	1	0	0	2	0	1	1
ENSG00000248736	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0
ENSG00000249782	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0
ENSG00000078295	0	1	0	0	3	0	12	30	0	8	2	1	0	6	2
ENSG00000249830	0	0	0	0	2	0	1	2	1	2	0	0	0	0	0
ENSG00000248311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250974	0	0	0	0	0	0	0	16	0	0	1	0	0	0	0
ENSG00000183654	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0
ENSG00000248729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000249994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000286986	0	0	2	0	0	0	3	5	1	1	0	0	0	0	0
ENSG00000278877	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0
ENSG00000249326	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0
ENSG00000113430	0	0	0	0	9	0	1	3	4	0	3	2	0	0	2
ENSG00000250730	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000248131	1	0	1	0	1	0	5	5	4	0	0	0	0	3	1
ENSG00000250001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000112902	278	206	41	124	135	137	141	211	220	270	170	355	26	195	124
ENSG00000288108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000145555	266	258	235	216	180	312	354	312	767	430	329	561	84	478	213
ENSG00000250060	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ENSG00000250866	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000245662	0	3	4	1	20	6	15	39	3	3	13	7	15	8	2
ENSG00000242654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000280373	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000248597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000133398	178	345	270	94	201	122	432	238	322	195	184	300	238	158	167
ENSG00000250814	1	0	0	0	0	0	2	3	0	0	0	0	0	0	0
ENSG00000248699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000251168	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
ENSG00000248775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000249486	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000249731	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000250761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000286441	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000248766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000248994	1	2	2	0	0	1	12	10	2	2	4	0	0	7	1
ENSG00000185296	0	0	0	0	0	0	1	5	1	0	0	0	0	0	1
ENSG00000288002	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0
ENSG00000279264	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ENSG00000124275	721	509	487	375	285	223	454	195	181	221	227	566	209	345	138
ENSG00000249688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000215217	2	3	8	9	20	10	15	11	15	11	3	11	0	2	5
ENSG00000250716	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0
ENSG00000275733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000249781	0	0	1	2	1	0	7	9	3	1	1	0	0	0	4
ENSG00000251568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000251371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000251112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000279075	0	0	0	0	0	1	1	0	2	0	0	0	3	1	0
ENSG00000250453	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ENSG00000271892	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000249191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000249053	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
ENSG00000260981	0	0	1	0	2	0	0	16	0	0	0	0	0	0	0
ENSG00000113569	286	351	159	107	138	118	172	202	163	110	94	200	75	118	87
ENSG00000287199	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0
ENSG00000251549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000183580	32	52	8	20	27	34	59	47	53	86	26	70	16	26	22
ENSG00000242608	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
ENSG00000286751	0	2	2	0	0	0	0	6	1	4	0	0	0	0	0
ENSG00000248973	1	0	1	0	0	1	0	3	0	0	0	0	0	0	0
ENSG00000248457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000248834	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0
ENSG00000279125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000245729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000286556	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
ENSG00000250332	2	8	0	0	0	1	4	4	0	0	2	1	2	0	0
ENSG00000152582	34	57	38	7	47	73	70	92	71	111	55	89	12	36	28
ENSG00000224282	2	4	4	1	1	1	1	5	3	1	3	1	0	0	1
ENSG00000250389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000249557	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ENSG00000249490	1	0	0	0	0	0	3	2	0	0	0	0	0	0	0
ENSG00000279635	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000249266	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000214132	5	1	1	0	1	2	10	0	1	1	3	4	0	1	1
ENSG00000253104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ENSG00000248537	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
ENSG00000248908	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
ENSG00000248223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000249521	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
ENSG00000248813	0	0	0	0	0	0	2	10	0	0	0	0	0	2	0
ENSG00000233787	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000286432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000248426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000249941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000248145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240376	51	62	63	30	21	28	41	37	99	77	44	43	23	15	36
ENSG00000286377	0	0	0	0	0	0	1	8	5	0	0	0	0	0	0
ENSG00000251654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000276332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250455	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0
ENSG00000251629	0	0	1	0	0	0	5	18	1	3	0	2	0	0	7
ENSG00000272057	0	0	1	0	0	0	4	0	7	0	3	0	3	4	0
ENSG00000286625	4	4	9	13	5	2	5	13	1	8	0	8	1	0	6
ENSG00000249016	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ENSG00000279097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000248118	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0
ENSG00000250668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000286254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000286741	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0
ENSG00000056097	660	986	551	468	500	316	795	385	333	434	337	974	322	314	251
ENSG00000287471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177058	250	268	208	176	140	83	258	182	128	141	120	231	153	145	96
ENSG00000248918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000249102	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
ENSG00000248216	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ENSG00000040731	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0
ENSG00000248969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000249927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287940	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000248624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000248286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000277878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000260786	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000280185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000260066	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ENSG00000164294	35	23	13	29	37	27	72	57	68	78	43	47	5	22	14
ENSG00000231291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000016082	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0
ENSG00000249289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000249748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000260761	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0
ENSG00000251678	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0
